terms,frequency
Abfrage Gedenktage,0.006209818819403857
Post,0.0061367621274108705
Februar,0.006063705435417884
Mehrheit,0.006063705435417884
Konskriptionsbezirk,0.006063705435417884
Beginn,0.006063705435417884
Jurist,0.006063705435417884
Nachweis,0.005917592051431911
Abgabenwesen,0.0058445353594389245
Quelltext der Seite,0.0058445353594389245
Referat,0.005771478667445938
Stadtentwicklung,0.0056984219754529514
Zentralfriedhof,0.0056984219754529514
Landtag,0.0056984219754529514
Zeichen mit der,0.0056984219754529514
Abstimmung,0.005625365283459965
Reisepass,0.005552308591466978
Warnung,0.005406195207481005
Antragstellung,0.005333138515488019
Klimaschutz,0.005260081823495032
Wohnbeihilfe,0.005260081823495032
Interesse,0.005260081823495032
Oktober,0.005187025131502046
KB PDF,0.005187025131502046
Feld,0.005113968439509059
Politiker,0.005113968439509059
Systematik,0.005113968439509059
Verrechnung,0.005113968439509059
Jahr von,0.005113968439509059
Kunst,0.005040911747516073
Ausland,0.004967855055523086
Bewohner,0.004967855055523086
Abgabe,0.004894798363530099
Jahr bis,0.004821741671537112
Einwanderung,0.004821741671537112
Wissenschaft,0.004821741671537112
Abwicklung,0.004821741671537112
Bauwerksdaten,0.004748684979544126
Sitzung,0.004602571595558153
Unterschrift,0.004602571595558153
Sammlung,0.004602571595558153
Zahl,0.004602571595558153
Ehrenring,0.004529514903565166
Architekt,0.004529514903565166
Veranstalter,0.004529514903565166
Buchhaltungsabteilung,0.004529514903565166
Kontakt,0.00445645821157218
Wirkungsadresse,0.00445645821157218
Rathaus,0.004383401519579193
Union,0.004383401519579193
Vollstreckung,0.004310344827586207
Bundeskanzleramt,0.004310344827586207
Eingabe,0.004310344827586207
Rahmen,0.004310344827586207
Wettbewerb,0.00423728813559322
Hauptwohnsitz,0.00423728813559322
Tag,0.00423728813559322
Beamter,0.004164231443600234
Schriftsteller,0.004164231443600234
Schlacht,0.004164231443600234
Juni,0.004164231443600234
Feiertagen,0.004164231443600234
Teilnehmerzahl,0.004091174751607247
Verlauf,0.004091174751607247
Ereignis zu Gewalt,0.004091174751607247
Leerzeichen,0.004091174751607247
Datum bis,0.004091174751607247
Formularteil,0.004091174751607247
Koordinaten manuell,0.004091174751607247
Auskunft,0.004018118059614261
Stadtsenat,0.004018118059614261
Kunstsammler,0.003945061367621274
Mutterer,0.003945061367621274
Zeitpunkt,0.003945061367621274
Verfahren,0.003945061367621274
Termin,0.003945061367621274
Joseph,0.0038720046756282878
Karfreitag,0.0038720046756282878
Zeit,0.0038720046756282878
Auszahlung,0.003798947983635301
Band,0.003798947983635301
Protokoll,0.003798947983635301
Bauwerken,0.003798947983635301
Mitglied,0.003798947983635301
Sitzungsberichte,0.003798947983635301
Erstellen,0.003798947983635301
Hinweis,0.0037258912916423143
Wohnsitz,0.0037258912916423143
Unternehmen,0.0037258912916423143
Bundesgesetz,0.0037258912916423143
Bruder,0.003652834599649328
Aufenthalt,0.003652834599649328
Verl,0.003652834599649328
Sonnleithner,0.003652834599649328
Betrieb,0.003652834599649328
Volkspartei,0.003652834599649328
Verwendung,0.003652834599649328
Generaldirektor,0.0035797779076563413
Telefonnummer,0.0035797779076563413
Kenntnis,0.0035797779076563413
Absatz,0.0035797779076563413
Recht,0.0035797779076563413
Tod,0.0035797779076563413
Anmeldung,0.0035797779076563413
Wohnadresse,0.0035797779076563413
Kultusgemeinde,0.0035067212156633548
Dauer,0.0035067212156633548
Seitentitel,0.0035067212156633548
Aufenthaltsbewilligung,0.0035067212156633548
Kommission,0.0034336645236703683
Teil,0.0033606078316773817
Bescheid,0.0033606078316773817
Beihilfe,0.0033606078316773817
Grundlage,0.0033606078316773817
Zeitraum,0.0033606078316773817
Ablauf,0.0033606078316773817
Attribut,0.0032875511396843952
Bundesministerium,0.0032875511396843952
Bau,0.0032875511396843952
Begutachtung,0.0032875511396843952
Verein,0.0032875511396843952
Menschenrechte,0.0032144944476914087
Herr,0.0032144944476914087
Liga,0.0032144944476914087
Volksbegehren,0.0032144944476914087
Geschichte Wiki,0.0032144944476914087
Antragsteller,0.0032144944476914087
Zusammenhang,0.0031414377556984218
Entscheidung,0.0031414377556984218
Josephu,0.0031414377556984218
Lebenslauf,0.0031414377556984218
Zweck,0.0031414377556984218
Nein,0.0030683810637054353
Klemm,0.0030683810637054353
Partnerschaft,0.0030683810637054353
Haus,0.0030683810637054353
Meldeservice,0.0030683810637054353
Gattin,0.0029953243717124487
Aufenthaltstitel,0.0029953243717124487
Herkunft,0.0029953243717124487
Datum von,0.0029953243717124487
Entwicklung,0.0029953243717124487
Register,0.0029953243717124487
Ehrenkreuz,0.0029222676797194622
Verarbeitung,0.0029222676797194622
Beilage,0.0029222676797194622
Erzherzog,0.0029222676797194622
Auflistung,0.0029222676797194622
Wissenschaft und Kunst,0.0029222676797194622
Steinberger,0.0028492109877264757
Seite Martin Karplus,0.0028492109877264757
Strichpunkt plus Leerzeichen,0.002776154295733489
Dienst,0.002776154295733489
Adressregister,0.002776154295733489
Energie,0.002776154295733489
Frau,0.002776154295733489
Arthaber,0.002776154295733489
Schauspieler,0.002776154295733489
Gedenktafel,0.002776154295733489
Land,0.002776154295733489
Liechtenstein,0.002776154295733489
Umweltschutzabteilung,0.002776154295733489
Prozent,0.0027030976037405027
Anspruch,0.0027030976037405027
Wiener,0.0027030976037405027
Personalausweis,0.0027030976037405027
Wiener Umweltschutzabteilung,0.0027030976037405027
Konzentrationslager,0.0027030976037405027
Orden,0.0027030976037405027
Arbeit und Statistik,0.0027030976037405027
Feldname,0.002630040911747516
Rudolf von Arthaber,0.002630040911747516
Coronavirus,0.002630040911747516
Zeno,0.002630040911747516
Stipendium,0.002630040911747516
Amtswege,0.0025569842197545297
Frist,0.0025569842197545297
Werbung,0.0025569842197545297
Neustadt,0.0025569842197545297
Donnerstag,0.0025569842197545297
Zustimmung,0.0025569842197545297
Topografisches Objekt,0.002483927527761543
Tageszeitung,0.002483927527761543
Bezirkszahl,0.002483927527761543
Studium,0.002483927527761543
Neubau,0.002483927527761543
Einbringung,0.002483927527761543
Einlagezahlen,0.002483927527761543
Verordnung,0.002483927527761543
Zahl der Hausnummer,0.002483927527761543
Fall,0.002483927527761543
Erteilung,0.002483927527761543
Hoheisel,0.002483927527761543
Form JJJJ,0.002483927527761543
Gesetz,0.002483927527761543
Zulassung,0.002483927527761543
Kino,0.002483927527761543
Zustellung,0.002483927527761543
Standesamt,0.002410870835768556
Abgerufen von,0.002410870835768556
Seite Friedrich Kratochwjle,0.002410870835768556
Meldung,0.002410870835768556
Bezirksgrenzen,0.002410870835768556
Komponist,0.002410870835768556
Konskriptionsbezirke,0.002410870835768556
AG,0.002410870835768556
Preis,0.002410870835768556
Hausnummern,0.002410870835768556
Errichtung,0.002410870835768556
Alsergrund,0.0023378141437755697
Ausstellung,0.0023378141437755697
Anliegen,0.0023378141437755697
Vertrag,0.0023378141437755697
Lebensjahr,0.0023378141437755697
Erledigungsdauer,0.0023378141437755697
ANNO,0.0023378141437755697
Richtlinie,0.002264757451782583
Landesarchiv,0.002264757451782583
Albrecht,0.002264757451782583
Lichtbildausweis,0.002264757451782583
Firma,0.002264757451782583
Generalmajor,0.002264757451782583
Sonnenschein,0.002264757451782583
Geburtsurkunde,0.002264757451782583
Melderegister,0.002264757451782583
Archivgut,0.002264757451782583
Amtsstunden,0.002264757451782583
Verweis,0.002264757451782583
